concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
9df23f33-5310-4426-96c8-f72c17cf091b,35940574,Has concept,2021-01-30,2099-12-31,NA
35940574,9df23f33-5310-4426-96c8-f72c17cf091b,Concept of,2021-01-30,2099-12-31,NA
9df23f33-5310-4426-96c8-f72c17cf091b,35941014,Has concept,2021-01-30,2099-12-31,NA
35941014,9df23f33-5310-4426-96c8-f72c17cf091b,Concept of,2021-01-30,2099-12-31,NA
9df23f33-5310-4426-96c8-f72c17cf091b,35942059,Has concept,2021-01-30,2099-12-31,NA
35942059,9df23f33-5310-4426-96c8-f72c17cf091b,Concept of,2021-01-30,2099-12-31,NA
9df23f33-5310-4426-96c8-f72c17cf091b,35941222,Has concept,2021-01-30,2099-12-31,NA
35941222,9df23f33-5310-4426-96c8-f72c17cf091b,Concept of,2021-01-30,2099-12-31,NA
9df23f33-5310-4426-96c8-f72c17cf091b,35941508,Has concept,2021-01-30,2099-12-31,NA
35941508,9df23f33-5310-4426-96c8-f72c17cf091b,Concept of,2021-01-30,2099-12-31,NA
9df23f33-5310-4426-96c8-f72c17cf091b,35940997,Has concept,2021-01-30,2099-12-31,NA
35940997,9df23f33-5310-4426-96c8-f72c17cf091b,Concept of,2021-01-30,2099-12-31,NA
9df23f33-5310-4426-96c8-f72c17cf091b,35940926,Has concept,2021-01-30,2099-12-31,NA
35940926,9df23f33-5310-4426-96c8-f72c17cf091b,Concept of,2021-01-30,2099-12-31,NA
86652c16-f5a1-40ff-bd23-43ae3f8a9162,44497999,Has concept,2021-01-30,2099-12-31,NA
44497999,86652c16-f5a1-40ff-bd23-43ae3f8a9162,Concept of,2021-01-30,2099-12-31,NA
86652c16-f5a1-40ff-bd23-43ae3f8a9162,44498000,Has concept,2021-01-30,2099-12-31,NA
44498000,86652c16-f5a1-40ff-bd23-43ae3f8a9162,Concept of,2021-01-30,2099-12-31,NA
86652c16-f5a1-40ff-bd23-43ae3f8a9162,36402201,Has concept,2021-01-30,2099-12-31,NA
36402201,86652c16-f5a1-40ff-bd23-43ae3f8a9162,Concept of,2021-01-30,2099-12-31,NA
86652c16-f5a1-40ff-bd23-43ae3f8a9162,44498001,Has concept,2021-01-30,2099-12-31,NA
44498001,86652c16-f5a1-40ff-bd23-43ae3f8a9162,Concept of,2021-01-30,2099-12-31,NA
86652c16-f5a1-40ff-bd23-43ae3f8a9162,44498002,Has concept,2021-01-30,2099-12-31,NA
